	sample	lambda
0	('EP005972', 4, 'EP005972_K40_BSTD.otu_table.biom')	1.0
1	('EP007214', 7, 'EP007214_K70_BS1D.otu_table.biom')	0.0
2	('EP010982', 8, 'EP010982_K80_BS1D.otu_table.biom')	1.0
3	('EP013002', 10, 'EP013002_K100_BS1D.otu_table.biom')	0.0
4	('EP013002', 9, 'EP013002_K90_BS1D.otu_table.biom')	0.0
5	('EP013894', 11, 'EP013894_K110_BS1D.otu_table.biom')	0.0
6	('EP013894', 14, 'EP013894_K140_BS1D.otu_table.biom')	1.0
7	('EP016061', 10, 'EP016061_K100_BS1D.otu_table.biom')	1.0
8	('EP016061', 5, 'EP016061_K50_BS1D.otu_table.biom')	1.0
9	('EP016916', 8, 'EP016916_K80_BS1D.otu_table.biom')	0.0
10	('EP016916', 9, 'EP016916_K90_BS1D.otu_table.biom')	1.0
11	('EP018067', 2, 'EP018067_K20_BS1D.otu_table.biom')	1.0
12	('EP018067', 6, 'EP018067_K60_BS1D.otu_table.biom')	1.0
13	('EP021899', 14, 'EP021899_K140_BS1D.otu_table.biom')	1.0
14	('EP028055', 9, 'EP028055_K90_BS1D.otu_table.biom')	1.0
15	('EP031863', 3, 'EP031863_K30_BS1D.otu_table.biom')	1.0
16	('EP031863', 4, 'EP031863_K40_BS1D.otu_table.biom')	1.0
17	('EP034068', 6, 'EP034068_K60_BS1D.otu_table.biom')	1.0
18	('EP034068', 7, 'EP034068_K70_BS1D.otu_table.biom')	1.0
19	('EP035045', 5, 'EP035045_K50_BSTD.otu_table.biom')	1.0
20	('EP036702', 10, 'EP036702_K100_BS1D.otu_table.biom')	1.0
21	('EP036702', 7, 'EP036702_K70_BS1D.otu_table.biom')	1.0
22	('EP038468', 6, 'EP038468_K60_BS1D.otu_table.biom')	0.0
23	('EP038468', 7, 'EP038468_K70_BS1D.otu_table.biom')	0.0
24	('EP044068', 10, 'EP044068_K100_BS1D.otu_table.biom')	1.0
25	('EP044068', 7, 'EP044068_K70_BS1D.otu_table.biom')	0.0
26	('EP044415', 3, 'EP044415_K30_BS1D.otu_table.biom')	0.0
27	('EP045004', 14, 'EP045004_K140_BS1D.otu_table.biom')	1.0
28	('EP045004', 9, 'EP045004_K90_BS1D.otu_table.biom')	0.0
29	('EP049012', 6, 'EP049012_K60_BS1D.otu_table.biom')	0.0
30	('EP049012', 8, 'EP049012_K80_BS1D.otu_table.biom')	0.0
31	('EP052210', 5, 'EP052210_K50_BS1D.otu_table.biom')	1.0
32	('EP052210', 8, 'EP052210_K80_BS1D.otu_table.biom')	1.0
33	('EP056457', 4, 'EP056457_K40_BSTD.otu_table.biom')	0.78
34	('EP059416', 5, 'EP059416_K50_BS1D.otu_table.biom')	0.0
35	('EP062329', 7, 'EP062329_K70_BS1D.otu_table.biom')	1.0
36	('EP063938', 10, 'EP063938_K100_BS1D.otu_table.biom')	1.0
37	('EP065458', 5, 'EP065458_K50_BS1D.otu_table.biom')	0.0
38	('EP065458', 7, 'EP065458_K70_BS1D.otu_table.biom')	1.0
39	('EP067259', 10, 'EP067259_K100_BS1D.otu_table.biom')	1.0
40	('EP070043', 10, 'EP070043_K100_BS1D.otu_table.biom')	0.0
41	('EP070043', 8, 'EP070043_K80_BS1D.otu_table.biom')	0.0
42	('EP072314', 6, 'EP072314_K60_BS1D.otu_table.biom')	0.0
43	('EP072314', 9, 'EP072314_K90_BS1D.otu_table.biom')	1.0
44	('EP074002', 5, 'EP074002_K50_BS1D.otu_table.biom')	0.0
45	('EP074002', 8, 'EP074002_K80_BS1D.otu_table.biom')	1.0
46	('EP075428', 3, 'EP075428_K30_BS1D.otu_table.biom')	0.96
47	('EP075428', 4, 'EP075428_K40_BS1D.otu_table.biom')	0.0
48	('EP077500', 4, 'EP077500_K40_BS1D.otu_table.biom')	1.0
49	('EP080581', 3, 'EP080581_K30_BS1D.otu_table.biom')	1.0
50	('EP080581', 4, 'EP080581_K40_BS1D.otu_table.biom')	0.0
51	('EP081373', 7, 'EP081373_K70_BS1D.otu_table.biom')	1.0
52	('EP082756', 10, 'EP082756_K100_BS1D.otu_table.biom')	0.0
53	('EP082756', 7, 'EP082756_K70_BS1D.otu_table.biom')	1.0
54	('EP090347', 5, 'EP090347_K50_BSTD.otu_table.biom')	0.0
55	('EP090829', 5, 'EP090829_K50_BS1D.otu_table.biom')	0.0
56	('EP093201', 5, 'EP093201_K50_BSTD.otu_table.biom')	0.54
57	('EP094101', 2, 'EP094101_K20_BS1D.otu_table.biom')	1.0
58	('EP094101', 6, 'EP094101_K60_BS1D.otu_table.biom')	0.0
59	('EP096310', 3, 'EP096310_K30_BS1D.otu_table.biom')	0.0
60	('EP096310', 6, 'EP096310_K60_BS1D.otu_table.biom')	1.0
61	('EP096728', 6, 'EP096728_K60_BSTD.otu_table.biom')	0.0
62	('EP097937', 4, 'EP097937_K40_BS1D.otu_table.biom')	0.57
63	('EP098909', 6, 'EP098909_K60_BS1D.otu_table.biom')	0.0
64	('EP100948', 5, 'EP100948_K50_BSTD.otu_table.biom')	1.0
65	('EP101319', 5, 'EP101319_K50_BSTD.otu_table.biom')	1.0
66	('EP101628', 10, 'EP101628_K100_BS1D.otu_table.biom')	1.0
67	('EP101628', 7, 'EP101628_K70_BS1D.otu_table.biom')	0.0
68	('EP103789', 10, 'EP103789_K100_BS1D.otu_table.biom')	0.0
69	('EP103789', 4, 'EP103789_K40_BS1D.otu_table.biom')	1.0
70	('EP103789', 8, 'EP103789_K80_BS1D.otu_table.biom')	0.68
71	('EP104056', 7, 'EP104056_K70_BS1D.otu_table.biom')	0.0
72	('EP104056', 8, 'EP104056_K80_BS1D.otu_table.biom')	1.0
73	('EP107715', 6, 'EP107715_K60_BS1D.otu_table.biom')	1.0
74	('EP111886', 8, 'EP111886_K80_BS1D.otu_table.biom')	0.0
