	sample	lambda
0	('EP013002', 8, 'EP013002_K80_MCHD.otu_table.biom')	0.0
1	('EP013417', 3, 'EP013417_K30_MCHD.otu_table.biom')	0.0
2	('EP018067', 5, 'EP018067_K50_MCHD.otu_table.biom')	0.0
3	('EP031863', 5, 'EP031863_K50_MCHD.otu_table.biom')	0.0
4	('EP034068', 9, 'EP034068_K90_MCHD.otu_table.biom')	0.0
5	('EP036702', 9, 'EP036702_K90_MCHD.otu_table.biom')	0.0
6	('EP044415', 5, 'EP044415_K50_MCHD.otu_table.biom')	0.0
7	('EP059416', 8, 'EP059416_K80_MCHD.otu_table.biom')	0.0
8	('EP062329', 9, 'EP062329_K90_MCHD.otu_table.biom')	0.0
9	('EP075428', 6, 'EP075428_K60_MCHD.otu_table.biom')	0.0
10	('EP077500', 3, 'EP077500_K30_MCHD.otu_table.biom')	0.0
11	('EP080581', 5, 'EP080581_K50_MCHD.otu_table.biom')	0.0
12	('EP081373', 8, 'EP081373_K80_MCHD.otu_table.biom')	0.0
13	('EP087695', 6, 'EP087695_K60_MCHD.otu_table.biom')	0.0
14	('EP094101', 5, 'EP094101_K50_MCHD.otu_table.biom')	0.0
15	('EP096310', 4, 'EP096310_K40_MCHD.otu_table.biom')	0.0
16	('EP097937', 7, 'EP097937_K70_MCHD.otu_table.biom')	0.0
17	('EP101628', 8, 'EP101628_K80_MCHD.otu_table.biom')	0.89
18	('EP104056', 9, 'EP104056_K90_MCHD.otu_table.biom')	0.0
19	('EP113600', 7, 'EP113600_K70_MCHD.otu_table.biom')	0.0
20	('EP119655', 2, 'EP119655_K20_MCHD.otu_table.biom')	0.0
21	('EP120862', 3, 'EP120862_K30_MCHD.otu_table.biom')	0.0
22	('EP134204', 9, 'EP134204_K90_MCHD.otu_table.biom')	0.0
23	('EP137942', 5, 'EP137942_K50_MCHD.otu_table.biom')	1.0
24	('EP145184', 7, 'EP145184_K70_MCHD.otu_table.biom')	0.0
25	('EP154266', 13, 'EP154266_K130_MCHD.otu_table.biom')	0.0
26	('EP191897', 2, 'EP191897_K20_MCHD.otu_table.biom')	0.0
27	('EP206375', 2, 'EP206375_K20_MCHD.otu_table.biom')	0.0
28	('EP217091', 4, 'EP217091_K40_MCHD.otu_table.biom')	0.0
29	('EP218239', 8, 'EP218239_K80_MCHD.otu_table.biom')	0.0
30	('EP222037', 8, 'EP222037_K80_MCHD.otu_table.biom')	0.0
31	('EP227762', 7, 'EP227762_K70_MCHD.otu_table.biom')	1.0
32	('EP238282', 8, 'EP238282_K80_MCHD.otu_table.biom')	0.0
33	('EP255636', 7, 'EP255636_K70_MCHD.otu_table.biom')	0.0
34	('EP256139', 7, 'EP256139_K70_MCHD.otu_table.biom')	0.0
35	('EP267601', 3, 'EP267601_K30_MCHD.otu_table.biom')	0.0
36	('EP271595', 9, 'EP271595_K90_MCHD.otu_table.biom')	1.0
37	('EP273248', 11, 'EP273248_K110_MCHD.otu_table.biom')	0.0
38	('EP283033', 7, 'EP283033_K70_MCHD.otu_table.biom')	0.0
39	('EP285481', 13, 'EP285481_K130_MCHD.otu_table.biom')	0.0
40	('EP286550', 7, 'EP286550_K70_MCHD.otu_table.biom')	0.0
41	('EP288001', 6, 'EP288001_K60_MCHD.otu_table.biom')	0.09
42	('EP296970', 8, 'EP296970_K80_MCHD.otu_table.biom')	0.0
43	('EP304007', 9, 'EP304007_K90_MCHD.otu_table.biom')	0.0
44	('EP316551', 9, 'EP316551_K90_MCHD.otu_table.biom')	0.0
45	('EP318569', 5, 'EP318569_K50_MCHD.otu_table.biom')	0.0
46	('EP319072', 4, 'EP319072_K40_MCHD.otu_table.biom')	0.0
47	('EP323428', 9, 'EP323428_K90_MCHD.otu_table.biom')	0.0
48	('EP325577', 5, 'EP325577_K50_MCHD.otu_table.biom')	0.0
49	('EP327746', 7, 'EP327746_K70_MCHD.otu_table.biom')	0.0
50	('EP333479', 8, 'EP333479_K80_MCHD.otu_table.biom')	1.0
51	('EP337075', 7, 'EP337075_K70_MCHD.otu_table.biom')	0.0
52	('EP342029', 6, 'EP342029_K60_MCHD.otu_table.biom')	0.0
53	('EP356792', 2, 'EP356792_K20_MCHD.otu_table.biom')	0.0
54	('EP362721', 7, 'EP362721_K70_MCHD.otu_table.biom')	0.0
55	('EP364626', 8, 'EP364626_K80_MCHD.otu_table.biom')	0.0
56	('EP370370', 7, 'EP370370_K70_MCHD.otu_table.biom')	0.0
57	('EP376025', 7, 'EP376025_K70_MCHD.otu_table.biom')	0.0
58	('EP376101', 7, 'EP376101_K70_MCHD.otu_table.biom')	0.0
59	('EP376326', 8, 'EP376326_K80_MCHD.otu_table.biom')	0.0
60	('EP388069', 3, 'EP388069_K30_MCHD.otu_table.biom')	0.0
61	('EP388920', 6, 'EP388920_K60_MCHD.otu_table.biom')	0.0
62	('EP389265', 6, 'EP389265_K60_MCHD.otu_table.biom')	1.0
