	sample	lambda
0	('ZN9YTFN', 1, 'HMP2_J00825_1_ST_T0_B0_0120_ZN9YTFN-01_AA31J.biom')	1.0
1	('ZN9YTFN', 2, 'HMP2_J00826_1_ST_T0_B0_0120_ZN9YTFN-1011_AA31J.biom')	1.0
2	('ZN9YTFN', 3, 'HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J.biom')	1.0
3	('ZN9YTFN', 4, 'HMP2_J00828_1_ST_T0_B0_0120_ZN9YTFN-1013_AA31J.biom')	1.0
4	('ZN9YTFN', 5, 'HMP2_J00829_1_ST_T0_B0_0120_ZN9YTFN-1014_AA31J.biom')	1.0
5	('ZN9YTFN', 6, 'HMP2_J00830_1_ST_T0_B0_0120_ZN9YTFN-1015_AA31J.biom')	1.0
6	('ZMGT937', 1, 'HMP2_J00831_1_ST_T0_B0_0122_ZMGT937-01_AA31J.biom')	1.0
7	('ZMGT937', 2, 'HMP2_J00832_1_ST_T0_B0_0122_ZMGT937-02_AA31J.biom')	1.0
8	('ZMGT937', 4, 'HMP2_J00833_1_ST_T0_B0_0122_ZMGT937-1013_AA31J.biom')	1.0
9	('ZMGT937', 6, 'HMP2_J00834_1_ST_T0_B0_0122_ZMGT937-1014_AA31J.biom')	1.0
10	('ZLZQMEV', 1, 'HMP2_J00835_1_ST_T0_B0_0122_ZLZQMEV-01_AA31J.biom')	1.0
11	('ZLZQMEV', 8, 'HMP2_J00836_1_ST_T0_B0_0120_ZLZQMEV-03_AA31J.biom')	1.0
12	('ZLZQMEV', 3, 'HMP2_J00837_1_ST_T0_B0_0122_ZLZQMEV-1012_AA31J.biom')	1.0
13	('ZLZQMEV', 5, 'HMP2_J00838_1_ST_T0_B0_0122_ZLZQMEV-1014_AA31J.biom')	1.0
14	('ZLZQMEV', 7, 'HMP2_J00839_1_ST_T0_B0_0122_ZLZQMEV-1015_AA31J.biom')	1.0
