	sample	lambda
0	('EP004835', 2, 'EP004835_K20_MCKD.otu_table.biom')	0.0
1	('EP004835', 3, 'EP004835_K30_MCKD.otu_table.biom')	1.0
2	('EP004835', 4, 'EP004835_K40_MCKD.otu_table.biom')	0.0
3	('EP004835', 5, 'EP004835_K50_MCKD.otu_table.biom')	0.0
4	('EP004835', 6, 'EP004835_K60_BCKD.otu_table.biom')	0.0
5	('EP004835', 7, 'EP004835_K70_MCKD.otu_table.biom')	0.0
6	('EP004835', 8, 'EP004835_K80_BCKD.otu_table.biom')	0.0
7	('EP005972', 2, 'EP005972_K20_MCKD.otu_table.biom')	0.0
8	('EP005972', 5, 'EP005972_K50_MCKD.otu_table.biom')	0.0
9	('EP007214', 1, 'EP007214_K10_MCKD.otu_table.biom')	0.0
10	('EP007214', 11, 'EP007214_K110_MCKD.otu_table.biom')	0.0
11	('EP007214', 2, 'EP007214_K20_MCKD.otu_table.biom')	0.0
12	('EP007214', 3, 'EP007214_K30_MCKD.otu_table.biom')	0.0
13	('EP007214', 4, 'EP007214_K40_MCKD.otu_table.biom')	0.0
14	('EP007214', 5, 'EP007214_K50_MCKD.otu_table.biom')	0.0
15	('EP007214', 6, 'EP007214_K60_MCKD.otu_table.biom')	0.0
16	('EP007214', 8, 'EP007214_K80_BCKD.otu_table.biom')	0.0
17	('EP010982', 1, 'EP010982_K10_MCKD.otu_table.biom')	0.0
18	('EP010982', 2, 'EP010982_K20_MCKD.otu_table.biom')	0.0
19	('EP010982', 3, 'EP010982_K30_MCKD.otu_table.biom')	0.0
20	('EP010982', 4, 'EP010982_K40_MCKD.otu_table.biom')	0.0
21	('EP010982', 5, 'EP010982_K50_MCKD.otu_table.biom')	0.0
22	('EP010982', 7, 'EP010982_K70_BCKD.otu_table.biom')	0.0
23	('EP010982', 9, 'EP010982_K90_MCKD.otu_table.biom')	0.0
24	('EP013002', 11, 'EP013002_K110_MCKD.otu_table.biom')	0.0
25	('EP013002', 2, 'EP013002_K20_MCKD.otu_table.biom')	0.0
26	('EP013002', 3, 'EP013002_K30_MCKD.otu_table.biom')	0.0
27	('EP013002', 4, 'EP013002_K40_MCKD.otu_table.biom')	0.0
28	('EP013002', 5, 'EP013002_K50_MCKD.otu_table.biom')	0.0
29	('EP013002', 6, 'EP013002_K60_BCKD.otu_table.biom')	0.0
30	('EP013002', 7, 'EP013002_K70_BCKD.otu_table.biom')	0.0
31	('EP013002', 8, 'EP013002_K80_MCKD.otu_table.biom')	0.0
32	('EP013417', 2, 'EP013417_K20_BCKD.otu_table.biom')	0.0
33	('EP013417', 3, 'EP013417_K30_MCKD.otu_table.biom')	0.0
34	('EP013417', 4, 'EP013417_K40_MCKD.otu_table.biom')	0.0
35	('EP013417', 5, 'EP013417_K50_MCKD.otu_table.biom')	0.0
36	('EP013894', 1, 'EP013894_K10_MCKD.otu_table.biom')	0.0
37	('EP013894', 12, 'EP013894_K120_BCKD.otu_table.biom')	0.0
38	('EP013894', 13, 'EP013894_K130_MCKD.otu_table.biom')	1.0
39	('EP013894', 2, 'EP013894_K20_MCKD.otu_table.biom')	1.0
40	('EP013894', 3, 'EP013894_K30_MCKD.otu_table.biom')	0.0
41	('EP013894', 4, 'EP013894_K40_MCKD.otu_table.biom')	0.0
42	('EP013894', 5, 'EP013894_K50_MCKD.otu_table.biom')	0.0
43	('EP013894', 6, 'EP013894_K60_MCKD.otu_table.biom')	0.0
44	('EP013894', 8, 'EP013894_K80_MCKD.otu_table.biom')	0.0
45	('EP016061', 3, 'EP016061_K30_MCKD.otu_table.biom')	0.0
46	('EP016061', 4, 'EP016061_K40_MCKD.otu_table.biom')	0.0
47	('EP016061', 6, 'EP016061_K60_BCKD.otu_table.biom')	0.0
48	('EP016061', 8, 'EP016061_K80_MCKD.otu_table.biom')	0.0
49	('EP016061', 9, 'EP016061_K90_BCKD.otu_table.biom')	0.0
50	('EP016916', 1, 'EP016916_K10_MCKD.otu_table.biom')	1.0
51	('EP016916', 11, 'EP016916_K110_BCKD.otu_table.biom')	1.0
52	('EP016916', 2, 'EP016916_K20_MCKD.otu_table.biom')	0.0
53	('EP016916', 3, 'EP016916_K30_MCKD.otu_table.biom')	0.0
54	('EP016916', 4, 'EP016916_K40_MCKD.otu_table.biom')	0.0
55	('EP016916', 5, 'EP016916_K50_MCKD.otu_table.biom')	1.0
56	('EP016916', 6, 'EP016916_K60_BCKD.otu_table.biom')	0.0
57	('EP018067', 3, 'EP018067_K30_BCKD.otu_table.biom')	0.0
58	('EP018067', 4, 'EP018067_K40_BCKD.otu_table.biom')	0.0
59	('EP018067', 5, 'EP018067_K50_MCKD.otu_table.biom')	0.0
