	sample	lambda
0	('EP013002', 9, 'EP013002_K90_BS1D.otu_table.biom')	1.0
1	('EP013894', 14, 'EP013894_K140_BS1D.otu_table.biom')	0.0
2	('EP016061', 5, 'EP016061_K50_BS1D.otu_table.biom')	0.0
3	('EP016916', 9, 'EP016916_K90_BS1D.otu_table.biom')	0.0
4	('EP018067', 6, 'EP018067_K60_BS1D.otu_table.biom')	0.0
5	('EP031863', 4, 'EP031863_K40_BS1D.otu_table.biom')	0.0
6	('EP034068', 7, 'EP034068_K70_BS1D.otu_table.biom')	0.0
7	('EP036702', 7, 'EP036702_K70_BS1D.otu_table.biom')	0.0
8	('EP038468', 7, 'EP038468_K70_BS1D.otu_table.biom')	0.5
9	('EP044068', 7, 'EP044068_K70_BS1D.otu_table.biom')	0.0
10	('EP045004', 9, 'EP045004_K90_BS1D.otu_table.biom')	0.0
11	('EP049012', 8, 'EP049012_K80_BS1D.otu_table.biom')	0.0
12	('EP052210', 8, 'EP052210_K80_BS1D.otu_table.biom')	0.0
13	('EP065458', 7, 'EP065458_K70_BS1D.otu_table.biom')	0.0
14	('EP070043', 8, 'EP070043_K80_BS1D.otu_table.biom')	0.0
15	('EP072314', 9, 'EP072314_K90_BS1D.otu_table.biom')	1.0
16	('EP074002', 8, 'EP074002_K80_BS1D.otu_table.biom')	0.5
17	('EP075428', 4, 'EP075428_K40_BS1D.otu_table.biom')	0.0
18	('EP080581', 4, 'EP080581_K40_BS1D.otu_table.biom')	1.0
19	('EP082756', 7, 'EP082756_K70_BS1D.otu_table.biom')	1.0
20	('EP094101', 6, 'EP094101_K60_BS1D.otu_table.biom')	0.0
21	('EP096310', 6, 'EP096310_K60_BS1D.otu_table.biom')	0.0
22	('EP101628', 7, 'EP101628_K70_BS1D.otu_table.biom')	0.0
23	('EP103789', 4, 'EP103789_K40_BS1D.otu_table.biom')	1.0
24	('EP103789', 8, 'EP103789_K80_BS1D.otu_table.biom')	1.0
25	('EP104056', 8, 'EP104056_K80_BS1D.otu_table.biom')	0.0
26	('EP113416', 9, 'EP113416_K90_BS1D.otu_table.biom')	0.0
27	('EP113600', 9, 'EP113600_K90_BS1D.otu_table.biom')	0.0
28	('EP113883', 8, 'EP113883_K80_BS1D.otu_table.biom')	0.0
29	('EP117219', 6, 'EP117219_K60_BS1D.otu_table.biom')	0.0
30	('EP117702', 6, 'EP117702_K60_BS1D.otu_table.biom')	0.52
31	('EP117915', 6, 'EP117915_K60_BS1D.otu_table.biom')	0.89
32	('EP120862', 16, 'EP120862_K160_BS1D.otu_table.biom')	1.0
33	('EP120862', 20, 'EP120862_K200_BS1D.otu_table.biom')	1.0
34	('EP120862', 23, 'EP120862_K230_BS1D.otu_table.biom')	1.0
35	('EP120862', 4, 'EP120862_K40_BS1D.otu_table.biom')	0.49
36	('EP120862', 5, 'EP120862_K50_BS1D.otu_table.biom')	0.0
37	('EP123900', 8, 'EP123900_K80_BS1D.otu_table.biom')	0.0
38	('EP126323', 7, 'EP126323_K70_BS1D.otu_table.biom')	0.5
39	('EP129024', 7, 'EP129024_K70_BS1D.otu_table.biom')	0.0
40	('EP129845', 7, 'EP129845_K70_BS1D.otu_table.biom')	0.0
41	('EP131173', 8, 'EP131173_K80_BS1D.otu_table.biom')	0.0
42	('EP131838', 7, 'EP131838_K70_BS1D.otu_table.biom')	0.0
43	('EP134204', 7, 'EP134204_K70_BS1D.otu_table.biom')	1.0
44	('EP136122', 8, 'EP136122_K80_BS1D.otu_table.biom')	0.85
45	('EP137942', 4, 'EP137942_K40_BS1D.otu_table.biom')	0.0
46	('EP145184', 8, 'EP145184_K80_BS1D.otu_table.biom')	0.0
47	('EP154266', 11, 'EP154266_K110_BS1D.otu_table.biom')	0.0
48	('EP156198', 9, 'EP156198_K90_BS1D.otu_table.biom')	0.0
49	('EP174763', 7, 'EP174763_K70_BS1D.otu_table.biom')	1.0
50	('EP175456', 7, 'EP175456_K70_BS1D.otu_table.biom')	0.0
51	('EP182444', 5, 'EP182444_K50_BS1D.otu_table.biom')	0.0
52	('EP191772', 13, 'EP191772_K130_BS1D.otu_table.biom')	0.0
53	('EP205465', 9, 'EP205465_K90_BS1D.otu_table.biom')	0.0
54	('EP209572', 8, 'EP209572_K80_BS1D.otu_table.biom')	0.0
55	('EP211731', 8, 'EP211731_K80_BS1D.otu_table.biom')	0.0
56	('EP216429', 12, 'EP216429_K120_BS1D.otu_table.biom')	1.0
57	('EP216429', 7, 'EP216429_K70_BS1D.otu_table.biom')	1.0
58	('EP216429', 8, 'EP216429_K80_BS1D.otu_table.biom')	1.0
59	('EP218239', 9, 'EP218239_K90_BS1D.otu_table.biom')	0.0
60	('EP218253', 7, 'EP218253_K70_BS1D.otu_table.biom')	0.0
61	('EP219711', 7, 'EP219711_K70_BS1D.otu_table.biom')	0.0
62	('EP227762', 4, 'EP227762_K40_BS1D.otu_table.biom')	0.0
63	('EP229454', 8, 'EP229454_K80_BS1D.otu_table.biom')	1.0
64	('EP230041', 16, 'EP230041_K160_BS1D.otu_table.biom')	1.0
65	('EP230807', 5, 'EP230807_K50_BS1D.otu_table.biom')	0.0
66	('EP233566', 7, 'EP233566_K70_BS1D.otu_table.biom')	0.0
67	('EP238282', 7, 'EP238282_K70_BS1D.otu_table.biom')	0.0
68	('EP238905', 6, 'EP238905_K60_BS1D.otu_table.biom')	0.0
69	('EP243984', 9, 'EP243984_K90_BS1D.otu_table.biom')	0.0
70	('EP246574', 11, 'EP246574_K110_BS1D.otu_table.biom')	0.0
71	('EP247202', 8, 'EP247202_K80_BS1D.otu_table.biom')	0.0
72	('EP247445', 8, 'EP247445_K80_BS1D.otu_table.biom')	1.0
73	('EP249375', 6, 'EP249375_K60_BS1D.otu_table.biom')	0.37
74	('EP251134', 9, 'EP251134_K90_BS1D.otu_table.biom')	0.0
75	('EP255636', 5, 'EP255636_K50_BS1D.otu_table.biom')	0.5
76	('EP256139', 4, 'EP256139_K40_BS1D.otu_table.biom')	0.0
77	('EP256568', 9, 'EP256568_K90_BS1D.otu_table.biom')	0.0
78	('EP261740', 9, 'EP261740_K90_BS1D.otu_table.biom')	0.0
79	('EP266239', 7, 'EP266239_K70_BS1D.otu_table.biom')	0.0
80	('EP272531', 8, 'EP272531_K80_BS1D.otu_table.biom')	1.0
81	('EP273248', 17, 'EP273248_K170_BS1D.otu_table.biom')	1.0
82	('EP273248', 8, 'EP273248_K80_BS1D.otu_table.biom')	1.0
83	('EP273248', 9, 'EP273248_K90_BS1D.otu_table.biom')	1.0
84	('EP275797', 7, 'EP275797_K70_BS1D.otu_table.biom')	0.0
85	('EP280575', 8, 'EP280575_K80_BS1D.otu_table.biom')	0.0
86	('EP283033', 5, 'EP283033_K50_BS1D.otu_table.biom')	0.0
87	('EP285481', 12, 'EP285481_K120_BS1D.otu_table.biom')	0.0
88	('EP285481', 6, 'EP285481_K60_BS1D.otu_table.biom')	0.0
89	('EP285481', 8, 'EP285481_K80_BS1D.otu_table.biom')	0.0
90	('EP287690', 9, 'EP287690_K90_BS1D.otu_table.biom')	0.0
91	('EP288001', 5, 'EP288001_K50_BS1D.otu_table.biom')	0.0
92	('EP288825', 9, 'EP288825_K90_BS1D.otu_table.biom')	1.0
93	('EP291560', 8, 'EP291560_K80_BS1D.otu_table.biom')	1.0
94	('EP291588', 15, 'EP291588_K150_BS1D.otu_table.biom')	0.0
95	('EP291636', 7, 'EP291636_K70_BS1D.otu_table.biom')	0.0
96	('EP292135', 7, 'EP292135_K70_BS1D.otu_table.biom')	1.0
97	('EP296970', 7, 'EP296970_K70_BS1D.otu_table.biom')	1.0
98	('EP300768', 15, 'EP300768_K150_BS1D.otu_table.biom')	0.0
99	('EP307640', 5, 'EP307640_K50_BS1D.otu_table.biom')	0.49
100	('EP310863', 8, 'EP310863_K80_BS1D.otu_table.biom')	0.0
101	('EP311478', 9, 'EP311478_K90_BS1D.otu_table.biom')	0.0
102	('EP312275', 9, 'EP312275_K90_BS1D.otu_table.biom')	0.0
103	('EP314756', 13, 'EP314756_K130_BS1D.otu_table.biom')	0.0
104	('EP316551', 7, 'EP316551_K70_BS1D.otu_table.biom')	1.0
105	('EP323428', 7, 'EP323428_K70_BS1D.otu_table.biom')	0.5
106	('EP325547', 9, 'EP325547_K90_BS1D.otu_table.biom')	0.5
107	('EP327746', 6, 'EP327746_K60_BS1D.otu_table.biom')	0.0
108	('EP328824', 8, 'EP328824_K80_BS1D.otu_table.biom')	0.89
109	('EP333268', 14, 'EP333268_K140_BS1D.otu_table.biom')	0.5
110	('EP333479', 6, 'EP333479_K60_BS1D.otu_table.biom')	0.34
111	('EP336335', 5, 'EP336335_K50_BS1D.otu_table.biom')	1.0
112	('EP337457', 7, 'EP337457_K70_BS1D.otu_table.biom')	0.0
113	('EP342029', 3, 'EP342029_K30_BS1D.otu_table.biom')	0.4
114	('EP346384', 9, 'EP346384_K90_BS1D.otu_table.biom')	0.92
115	('EP361548', 8, 'EP361548_K80_BS1D.otu_table.biom')	0.0
116	('EP362721', 5, 'EP362721_K50_BS1D.otu_table.biom')	0.39
117	('EP364626', 9, 'EP364626_K90_BS1D.otu_table.biom')	0.0
118	('EP368562', 9, 'EP368562_K90_BS1D.otu_table.biom')	0.0
119	('EP373403', 4, 'EP373403_K40_BS1D.otu_table.biom')	0.31
120	('EP376101', 6, 'EP376101_K60_BS1D.otu_table.biom')	0.0
121	('EP376326', 9, 'EP376326_K90_BS1D.otu_table.biom')	1.0
122	('EP377475', 8, 'EP377475_K80_BS1D.otu_table.biom')	1.0
123	('EP389265', 4, 'EP389265_K40_BS1D.otu_table.biom')	0.0
124	('EP389504', 13, 'EP389504_K130_BS1D.otu_table.biom')	0.0
125	('EP389504', 16, 'EP389504_K160_BS1D.otu_table.biom')	0.0
126	('EP391714', 9, 'EP391714_K90_BS1D.otu_table.biom')	1.0
127	('EP396857', 16, 'EP396857_K160_BS1D.otu_table.biom')	0.93
128	('EP401821', 7, 'EP401821_K70_BS1D.otu_table.biom')	0.0
129	('EP404399', 8, 'EP404399_K80_BS1D.otu_table.biom')	1.0
130	('EP410533', 9, 'EP410533_K90_BS1D.otu_table.biom')	0.0
131	('EP413477', 5, 'EP413477_K50_BS1D.otu_table.biom')	0.0
132	('EP422409', 13, 'EP422409_K130_BS1D.otu_table.biom')	0.0
133	('EP422409', 16, 'EP422409_K160_BS1D.otu_table.biom')	0.0
134	('EP422409', 8, 'EP422409_K80_BS1D.otu_table.biom')	0.5
135	('EP424615', 9, 'EP424615_K90_BS1D.otu_table.biom')	0.0
136	('EP426527', 8, 'EP426527_K80_BS1D.otu_table.biom')	0.0
137	('EP426750', 5, 'EP426750_K50_BS1D.otu_table.biom')	0.0
138	('EP428956', 6, 'EP428956_K60_BS1D.otu_table.biom')	0.0
139	('EP428956', 9, 'EP428956_K90_BS1D.otu_table.biom')	0.85
140	('EP429081', 8, 'EP429081_K80_BS1D.otu_table.biom')	0.0
141	('EP432041', 7, 'EP432041_K70_BS1D.otu_table.biom')	0.0
142	('EP435885', 5, 'EP435885_K50_BS1D.otu_table.biom')	0.0
143	('EP436435', 8, 'EP436435_K80_BS1D.otu_table.biom')	0.0
144	('EP437943', 12, 'EP437943_K120_BS1D.otu_table.biom')	0.0
145	('EP438714', 7, 'EP438714_K70_BS1D.otu_table.biom')	0.0
146	('EP439098', 12, 'EP439098_K120_BS1D.otu_table.biom')	0.0
147	('EP442697', 7, 'EP442697_K70_BS1D.otu_table.biom')	0.0
148	('EP445627', 9, 'EP445627_K90_BS1D.otu_table.biom')	0.0
149	('EP446223', 7, 'EP446223_K70_BS1D.otu_table.biom')	0.0
150	('EP451329', 6, 'EP451329_K60_BS1D.otu_table.biom')	0.0
151	('EP451380', 9, 'EP451380_K90_BS1D.otu_table.biom')	0.5
152	('EP459065', 13, 'EP459065_K130_BS1D.otu_table.biom')	1.0
153	('EP460410', 8, 'EP460410_K80_BS1D.otu_table.biom')	1.0
154	('EP463151', 7, 'EP463151_K70_BS1D.otu_table.biom')	0.0
155	('EP464472', 8, 'EP464472_K80_BS1D.otu_table.biom')	0.0
156	('EP470665', 6, 'EP470665_K60_BS1D.otu_table.biom')	0.0
157	('EP470960', 6, 'EP470960_K60_BS1D.otu_table.biom')	0.28
158	('EP473070', 6, 'EP473070_K60_BS1D.otu_table.biom')	0.0
159	('EP474673', 9, 'EP474673_K90_BS1D.otu_table.biom')	0.0
160	('EP481651', 9, 'EP481651_K90_BS1D.otu_table.biom')	0.0
161	('EP483200', 6, 'EP483200_K60_BS1D.otu_table.biom')	1.0
162	('EP483200', 7, 'EP483200_K70_BS1D.otu_table.biom')	0.0
163	('EP483776', 6, 'EP483776_K60_BS1D.otu_table.biom')	0.0
164	('EP483881', 8, 'EP483881_K80_BS1D.otu_table.biom')	0.0
165	('EP487163', 6, 'EP487163_K60_BS1D.otu_table.biom')	0.0
166	('EP487163', 9, 'EP487163_K90_BS1D.otu_table.biom')	0.0
167	('EP488403', 7, 'EP488403_K70_BS1D.otu_table.biom')	0.0
168	('EP489199', 9, 'EP489199_K90_BS1D.otu_table.biom')	0.0
169	('EP492355', 6, 'EP492355_K60_BS1D.otu_table.biom')	0.0
170	('EP495523', 7, 'EP495523_K70_BS1D.otu_table.biom')	0.0
171	('EP495882', 8, 'EP495882_K80_BS1D.otu_table.biom')	0.0
172	('EP503295', 6, 'EP503295_K60_BS1D.otu_table.biom')	1.0
173	('EP504516', 7, 'EP504516_K70_BS1D.otu_table.biom')	0.0
174	('EP509951', 8, 'EP509951_K80_BS1D.otu_table.biom')	0.0
175	('EP514824', 16, 'EP514824_K160_BS1D.otu_table.biom')	1.0
176	('EP515317', 12, 'EP515317_K120_BS1D.otu_table.biom')	0.0
177	('EP516732', 6, 'EP516732_K60_BS1D.otu_table.biom')	1.0
178	('EP519031', 7, 'EP519031_K70_BS1D.otu_table.biom')	0.0
179	('EP520093', 5, 'EP520093_K50_BS1D.otu_table.biom')	0.0
180	('EP521049', 7, 'EP521049_K70_BS1D.otu_table.biom')	0.0
181	('EP524246', 8, 'EP524246_K80_BS1D.otu_table.biom')	0.0
182	('EP527930', 7, 'EP527930_K70_BS1D.otu_table.biom')	0.0
183	('EP533526', 7, 'EP533526_K70_BS1D.otu_table.biom')	0.0
184	('EP537290', 6, 'EP537290_K60_BS1D.otu_table.biom')	0.0
185	('EP542437', 7, 'EP542437_K70_BS1D.otu_table.biom')	0.0
186	('EP542782', 7, 'EP542782_K70_BS1D.otu_table.biom')	0.0
187	('EP543835', 5, 'EP543835_K50_BS1D.otu_table.biom')	0.0
188	('EP547297', 15, 'EP547297_K150_BS1D.otu_table.biom')	0.29
189	('EP547297', 19, 'EP547297_K190_BS1D.otu_table.biom')	0.0
190	('EP547297', 21, 'EP547297_K210_BS1D.otu_table.biom')	0.0
191	('EP547297', 23, 'EP547297_K230_BS1D.otu_table.biom')	1.0
192	('EP547297', 24, 'EP547297_K240_BS1D.otu_table.biom')	1.0
193	('EP547297', 28, 'EP547297_K280_BS1D.otu_table.biom')	1.0
194	('EP547297', 29, 'EP547297_K290_BS1D.otu_table.biom')	0.0
195	('EP547297', 31, 'EP547297_K310_BS1D.otu_table.biom')	1.0
196	('EP547297', 34, 'EP547297_K340_BS1D.otu_table.biom')	0.0
197	('EP547297', 36, 'EP547297_K360_BS1D.otu_table.biom')	0.0
198	('EP547297', 38, 'EP547297_K380_BS1D.otu_table.biom')	0.0
199	('EP547297', 39, 'EP547297_K390_BS1D.otu_table.biom')	0.49
200	('EP547297', 7, 'EP547297_K70_BS1D.otu_table.biom')	0.5
201	('EP547297', 8, 'EP547297_K80_BS1D.otu_table.biom')	0.5
202	('EP548641', 7, 'EP548641_K70_BS1D.otu_table.biom')	1.0
203	('EP550598', 5, 'EP550598_K50_BS1D.otu_table.biom')	0.0
204	('EP550598', 6, 'EP550598_K60_BS1D.otu_table.biom')	0.5
205	('EP553021', 6, 'EP553021_K60_BS1D.otu_table.biom')	0.0
206	('EP553472', 8, 'EP553472_K80_BS1D.otu_table.biom')	0.0
207	('EP557758', 9, 'EP557758_K90_BS1D.otu_table.biom')	0.0
208	('EP558013', 8, 'EP558013_K80_BS1D.otu_table.biom')	0.29
209	('EP560280', 6, 'EP560280_K60_BS1D.otu_table.biom')	1.0
210	('EP563046', 9, 'EP563046_K90_BS1D.otu_table.biom')	0.0
211	('EP564900', 7, 'EP564900_K70_BS1D.otu_table.biom')	0.0
212	('EP566677', 8, 'EP566677_K80_BS1D.otu_table.biom')	0.0
213	('EP569649', 9, 'EP569649_K90_BS1D.otu_table.biom')	0.0
214	('EP573286', 8, 'EP573286_K80_BS1D.otu_table.biom')	1.0
215	('EP573960', 6, 'EP573960_K60_BS1D.otu_table.biom')	0.0
216	('EP575820', 8, 'EP575820_K80_BS1D.otu_table.biom')	0.0
217	('EP577384', 9, 'EP577384_K90_BS1D.otu_table.biom')	0.0
218	('EP580086', 7, 'EP580086_K70_BS1D.otu_table.biom')	1.0
