	sample	lambda
0	('EP004835', 2, 'EP004835_K20_MV1D.otu_table.biom')	0.0
1	('EP004835', 3, 'EP004835_K30_MV1D.otu_table.biom')	1.0
2	('EP004835', 4, 'EP004835_K40_MV1D.otu_table.biom')	0.0
3	('EP004835', 5, 'EP004835_K50_MV1D.otu_table.biom')	1.0
4	('EP005972', 3, 'EP005972_K30_MV1D.otu_table.biom')	0.0
5	('EP007214', 2, 'EP007214_K20_MV1D.otu_table.biom')	0.0
6	('EP007214', 3, 'EP007214_K30_MV1D.otu_table.biom')	0.1
7	('EP007214', 4, 'EP007214_K40_MV1D.otu_table.biom')	1.0
8	('EP007214', 5, 'EP007214_K50_MV1D.otu_table.biom')	1.0
9	('EP007214', 6, 'EP007214_K60_MV1D.otu_table.biom')	1.0
10	('EP010982', 2, 'EP010982_K20_MV1D.otu_table.biom')	0.0
11	('EP010982', 3, 'EP010982_K30_MV1D.otu_table.biom')	0.0
12	('EP010982', 4, 'EP010982_K40_MV1D.otu_table.biom')	0.0
13	('EP010982', 5, 'EP010982_K50_MV1D.otu_table.biom')	0.0
14	('EP013002', 11, 'EP013002_K110_MV1D.otu_table.biom')	0.0
15	('EP013002', 2, 'EP013002_K20_MV1D.otu_table.biom')	0.0
16	('EP013002', 3, 'EP013002_K30_MV1D.otu_table.biom')	0.0
17	('EP013002', 4, 'EP013002_K40_MV1D.otu_table.biom')	0.0
18	('EP013002', 5, 'EP013002_K50_MV1D.otu_table.biom')	0.0
19	('EP013417', 4, 'EP013417_K40_MV1D.otu_table.biom')	0.0
20	('EP013417', 5, 'EP013417_K50_MV1D.otu_table.biom')	0.0
21	('EP013894', 2, 'EP013894_K20_MV1D.otu_table.biom')	0.0
22	('EP013894', 3, 'EP013894_K30_MV1D.otu_table.biom')	0.0
23	('EP013894', 4, 'EP013894_K40_MV1D.otu_table.biom')	0.0
24	('EP013894', 5, 'EP013894_K50_MV1D.otu_table.biom')	0.0
25	('EP013894', 6, 'EP013894_K60_MV1D.otu_table.biom')	0.0
26	('EP013894', 8, 'EP013894_K80_MV1D.otu_table.biom')	0.0
27	('EP016061', 3, 'EP016061_K30_MV1D.otu_table.biom')	0.0
28	('EP016061', 4, 'EP016061_K40_MV1D.otu_table.biom')	0.0
29	('EP016916', 2, 'EP016916_K20_MV1D.otu_table.biom')	0.0
