	sample	lambda
0	('ZN9YTFN', 2, 'HMP2_J00826_1_ST_T0_B0_0120_ZN9YTFN-1011_AA31J.biom')	0.0
1	('ZN9YTFN', 3, 'HMP2_J00827_1_ST_T0_B0_0120_ZN9YTFN-1012_AA31J.biom')	0.0
2	('ZN9YTFN', 4, 'HMP2_J00828_1_ST_T0_B0_0120_ZN9YTFN-1013_AA31J.biom')	0.0
3	('ZN9YTFN', 5, 'HMP2_J00829_1_ST_T0_B0_0120_ZN9YTFN-1014_AA31J.biom')	0.0
4	('ZN9YTFN', 6, 'HMP2_J00830_1_ST_T0_B0_0120_ZN9YTFN-1015_AA31J.biom')	0.0
5	('ZMGT937', 2, 'HMP2_J00832_1_ST_T0_B0_0122_ZMGT937-02_AA31J.biom')	0.0
6	('ZMGT937', 4, 'HMP2_J00833_1_ST_T0_B0_0122_ZMGT937-1013_AA31J.biom')	0.0
7	('ZMGT937', 6, 'HMP2_J00834_1_ST_T0_B0_0122_ZMGT937-1014_AA31J.biom')	0.0
8	('ZLZQMEV', 8, 'HMP2_J00836_1_ST_T0_B0_0120_ZLZQMEV-03_AA31J.biom')	0.0
9	('ZLZQMEV', 3, 'HMP2_J00837_1_ST_T0_B0_0122_ZLZQMEV-1012_AA31J.biom')	0.0
10	('ZLZQMEV', 5, 'HMP2_J00838_1_ST_T0_B0_0122_ZLZQMEV-1014_AA31J.biom')	0.0
11	('ZLZQMEV', 7, 'HMP2_J00839_1_ST_T0_B0_0122_ZLZQMEV-1015_AA31J.biom')	0.0
12	('ZLZNCLZ', 4, 'HMP2_J00841_1_ST_T0_B0_0120_ZLZNCLZ-1013_AA31J.biom')	0.15
13	('ZLYEM2C', 5, 'HMP2_J00843_1_ST_T0_B0_0122_ZLYEM2C-03_AA31J.biom')	0.0
14	('ZLYEM2C', 3, 'HMP2_J00844_1_ST_T0_B0_0122_ZLYEM2C-1011_AA31J.biom')	0.0
15	('ZLGD9M0', 6, 'HMP2_J00846_1_ST_T0_B0_0122_ZLGD9M0-07_AA31J.biom')	0.15
16	('ZLGD9M0', 3, 'HMP2_J00847_1_ST_T0_B0_0122_ZLGD9M0-1012_AA31J.biom')	0.0
17	('ZL9BTWF', 2, 'HMP2_J00851_1_ST_T0_B0_0122_ZL9BTWF-04_AA31J.biom')	0.0
18	('ZL9BTWF', 3, 'HMP2_J00852_1_ST_T0_B0_0122_ZL9BTWF-05_AA31J.biom')	0.07
19	('ZL9BTWF', 4, 'HMP2_J00853_1_ST_T0_B0_0122_ZL9BTWF-06_AA31J.biom')	0.0
20	('ZL9BTWF', 6, 'HMP2_J00854_1_ST_T0_B0_0122_ZL9BTWF-1012_AA31J.biom')	0.0
21	('ZL9BTWF', 7, 'HMP2_J00855_1_ST_T0_B0_0122_ZL9BTWF-1013_AA31J.biom')	0.0
22	('ZKVR426', 2, 'HMP2_J00857_1_ST_T0_B0_0120_ZKVR426-02_AA31J.biom')	0.0
23	('ZKVR426', 3, 'HMP2_J00858_1_ST_T0_B0_0120_ZKVR426-03_AA31J.biom')	0.0
24	('ZKVR426', 4, 'HMP2_J00859_1_ST_T0_B0_0122_ZKVR426-04_AA31J.biom')	0.15
