	sample	lambda
0	('ZMGT937', 1, 'HMP2_J04148_1_NS_T0_B0_0122_ZMGT937-01_AAH7B.biom')	0.0
1	('ZN9YTFN', 4, 'HMP2_J04194_1_NS_T0_B0_0120_ZN9YTFN-1013_AAH7B.biom')	0.0
2	('ZN9YTFN', 3, 'HMP2_J04195_1_NS_T0_B0_0120_ZN9YTFN-1012_AAH7B.biom')	0.0
3	('ZN9YTFN', 2, 'HMP2_J04202_1_NS_T0_B0_0120_ZN9YTFN-1011_AAH7B.biom')	0.0
4	('ZOZOW1T', 3, 'HMP2_J05380_1_NS_T0_B0_0120_ZOZOW1T-48bN_AAH7B.biom')	0.0
5	('ZOZOW1T', 4, 'HMP2_J05382_1_NS_T0_B0_0120_ZOZOW1T-49N_AAH7B.biom')	0.0
6	('ZOZOW1T', 5, 'HMP2_J05384_1_NS_T0_B0_0120_ZOZOW1T-53N_AAH7B.biom')	0.0
7	('ZOZOW1T', 5, 'HMP2_J05384_1_NS_T0_B0_0120_ZOZOW1T-53_B86HB.biom')	0.0
8	('ZOZOW1T', 7, 'HMP2_J05386_1_NS_T0_B0_0120_ZOZOW1T-54bN_AAH7B.biom')	0.0
9	('ZOZOW1T', 6, 'HMP2_J05388_1_NS_T0_B0_0120_ZOZOW1T-54N_AAH7B.biom')	0.0
10	('ZOZOW1T', 6, 'HMP2_J05388_1_NS_T0_B0_0120_ZOZOW1T-54N_ANBEN.biom')	0.0
11	('ZOZOW1T', 8, 'HMP2_J05390_1_NS_T0_B0_0120_ZOZOW1T-55N_AAH7B.biom')	0.89
12	('ZOZOW1T', 9, 'HMP2_J05392_1_NS_T0_B0_0120_ZOZOW1T-56N_AAH7B.biom')	0.0
13	('ZOZOW1T', 10, 'HMP2_J05394_1_NS_T0_B0_0120_ZOZOW1T-57N_AAH7B.biom')	0.0
14	('ZOZOW1T', 11, 'HMP2_J05396_1_NS_T0_B0_0120_ZOZOW1T-58bN_AAH7B.biom')	0.0
15	('ZOZOW1T', 12, 'HMP2_J05398_1_NS_T0_B0_0120_ZOZOW1T-58N_AAH7B.biom')	0.0
16	('ZOZOW1T', 13, 'HMP2_J05400_1_NS_T0_B0_0120_ZOZOW1T-59N_AAH7B.biom')	0.0
17	('ZN9YTFN', 1, 'HMP2_J05402_1_NS_T0_B0_0122_ZN9YTFN-01_AAH7B.biom')	0.0
18	('ZMGT937', 3, 'HMP2_J05405_1_NS_T0_B0_0122_ZMGT937-1011_AAH7B.biom')	0.0
19	('ZMGT937', 5, 'HMP2_J05407_1_NS_T0_B0_0122_ZMGT937-1013_AAH7B.biom')	0.0
20	('ZMGT937', 6, 'HMP2_J05408_1_NS_T0_B0_0122_ZMGT937-1014_AAH7B.biom')	0.0
