	sample	lambda
0	('feces', 3001, 4, 'CSM5FZ3N')	0.4571289062499999
1	('feces', 3002, 5, 'CSM5FZ3X')	0.51220703125
2	('feces', 3002, 6, 'CSM5FZ3Z')	0.53388671875
3	('feces', 3002, 8, 'CSM5FZ44')	0.54609375
4	('feces', 3002, 9, 'CSM5FZ46')	0.49072265625
5	('feces', 3003, 4, 'CSM5FZ48')	0.11611328124999964
6	('feces', 3003, 5, 'CSM5FZ4E')	0.4776367187499999
7	('feces', 3003, 6, 'CSM5FZ4G')	1.0
8	('feces', 3003, 7, 'CSM5FZ4I')	0.7429687500000006
9	('feces', 3005, 4, 'CSM5FZ4O')	0.7275390625000007
10	('feces', 3008, 4, 'CSM5MCU4')	0.54365234375
11	('feces', 3004, 5, 'CSM5MCU6')	0.11611328124999964
12	('feces', 3006, 6, 'CSM5MCUI')	0.9177734375000008
13	('feces', 3007, 5, 'CSM5MCV1')	0.45869140624999993
14	('feces', 3007, 6, 'CSM5MCV3')	0.4904296875
15	('feces', 3007, 7, 'CSM5MCV5')	0.3394531249999998
16	('feces', 3007, 4, 'CSM5MCVB')	0.28945312499999976
17	('feces', 3001, 11, 'CSM5MCVD')	0.41015624999999994
18	('feces', 3001, 12, 'CSM5MCVF')	0.32060546874999984
19	('feces', 3009, 4, 'CSM5MCVH')	0.7164062500000006
20	('feces', 3001, 13, 'CSM5MCVV')	0.5215820312500001
21	('feces', 3008, 6, 'CSM5MCVZ')	0.30947265624999987
22	('feces', 3009, 5, 'CSM5MCW8')	0.6054687500000002
23	('feces', 3001, 6, 'CSM5YRY7')	0.6591796875000004
24	('feces', 5004, 8, 'ESM5GEZ8')	0.6079101562500003
25	('feces', 5004, 9, 'ESM5GEZA')	0.5644531250000001
26	('feces', 5001, 12, 'ESM5ME9G')	1.0
27	('feces', 5008, 6, 'ESM5MEA7')	0.5822265625000003
28	('feces', 5001, 13, 'ESM5MEBA')	0.7668945312500007
29	('feces', 5008, 4, 'ESM5MEBL')	0.7744140625000009
30	('feces', 5004, 11, 'ESM5MEBQ')	1.0
31	('feces', 5001, 4, 'ESM5MEDZ')	0.7734375000000008
32	('feces', 5001, 5, 'ESM5MEE2')	0.5423828125000001
33	('feces', 5001, 7, 'ESM5MEE6')	0.6085937500000003
34	('feces', 5001, 8, 'ESM5MEEA')	0.7424804687500006
35	('feces', 5001, 9, 'ESM5MEEB')	0.52353515625
36	('feces', 5003, 4, 'ESM5MEEC')	1.0
37	('feces', 5004, 4, 'ESM5MEEG')	0.5910156250000002
38	('feces', 5002, 4, 'ESM5MEET')	1.0
39	('feces', 4001, 9, 'HSM5FZBP')	1.0
40	('feces', 4001, 7, 'HSM5FZBQ')	1.0
41	('feces', 4001, 8, 'HSM5FZBR')	1.0
42	('feces', 4001, 6, 'HSM5FZBT')	0.5386718750000001
43	('feces', 4001, 5, 'HSM5FZBU')	0.7455078125000008
44	('feces', 4014, 4, 'HSM5MD3L')	0.7892578125000009
45	('feces', 4011, 5, 'HSM5MD3W')	1.0
46	('feces', 4010, 5, 'HSM5MD47')	0.22431640624999974
47	('feces', 4006, 7, 'HSM5MD4A')	0.09238281249999965
48	('feces', 4006, 6, 'HSM5MD4B')	1.0
49	('feces', 4006, 5, 'HSM5MD4C')	1.0
50	('feces', 4007, 7, 'HSM5MD4P')	0.12314453124999966
51	('feces', 4007, 5, 'HSM5MD4R')	0.6565429687500004
52	('feces', 4001, 12, 'HSM5MD5H')	1.0
53	('feces', 4001, 11, 'HSM5MD7W')	1.0
54	('feces', 4007, 4, 'HSM5MD7Z')	0.6357421875000004
55	('feces', 4006, 4, 'HSM5MD86')	0.555078125
56	('feces', 4010, 4, 'HSM5MD87')	0.8458007812500009
57	('feces', 4011, 4, 'HSM5MD8J')	0.18544921874999973
58	('feces', 2014, 4, 'MSM5FZ8Y')	1.0
59	('feces', 2010, 7, 'MSM5FZ9N')	0.5645507812500001
60	('feces', 2010, 8, 'MSM5FZ9Q')	0.5881835937500003
61	('feces', 2010, 9, 'MSM5FZ9S')	0.6928710937500006
62	('feces', 2010, 11, 'MSM5FZ9T')	0.6231445312500004
63	('feces', 2014, 5, 'MSM5FZ9V')	1.0
64	('feces', 2014, 7, 'MSM5FZ9Z')	1.0
65	('feces', 2014, 8, 'MSM5FZA2')	0.8301757812500008
66	('feces', 2008, 20, 'MSM5LLD8')	1.0
67	('feces', 2010, 13, 'MSM5LLE5')	0.43134765624999993
68	('feces', 2010, 15, 'MSM5LLE9')	0.8667968750000009
69	('feces', 2021, 13, 'MSM5LLEN')	0.7006835937500006
70	('feces', 2034, 5, 'MSM5LLEX')	1.0
71	('feces', 2026, 5, 'MSM5LLFK')	0.6208007812500004
72	('feces', 2026, 7, 'MSM5LLFO')	0.4737304687499999
73	('feces', 2026, 9, 'MSM5LLFS')	0.7458007812500007
74	('feces', 2026, 11, 'MSM5LLFU')	0.43515624999999997
75	('feces', 2014, 15, 'MSM5LLGD')	1.0
76	('feces', 2014, 13, 'MSM5LLGH')	1.0
77	('feces', 2014, 16, 'MSM5LLGJ')	0.7452148437500007
78	('feces', 2028, 8, 'MSM5LLGT')	1.0
79	('feces', 2028, 9, 'MSM5LLGV')	1.0
80	('feces', 2028, 11, 'MSM5LLGX')	0.7949218750000009
81	('feces', 2027, 7, 'MSM5LLH6')	1.0
82	('feces', 2025, 5, 'MSM5LLHE')	0.50625
83	('feces', 2025, 6, 'MSM5LLHG')	0.10439453124999964
84	('feces', 2025, 7, 'MSM5LLHI')	1.0
85	('feces', 2025, 9, 'MSM5LLHK')	0.947656250000001
86	('feces', 2025, 8, 'MSM5LLHM')	0.12822265624999965
