	sample	lambda
0	('EP013002', 1, 'EP013002_K10_MCVD.otu_table.biom')	1.0
1	('EP031863', 1, 'EP031863_K10_MCVD.otu_table.biom')	1.0
2	('EP036702', 1, 'EP036702_K10_MCVD.otu_table.biom')	1.0
3	('EP070043', 1, 'EP070043_K10_MCVD.otu_table.biom')	0.0
4	('EP075428', 1, 'EP075428_K10_MCVD.otu_table.biom')	0.0
5	('EP077500', 1, 'EP077500_K10_MCVD.otu_table.biom')	1.0
6	('EP081373', 1, 'EP081373_K10_MCVD.otu_table.biom')	0.35
7	('EP081859', 1, 'EP081859_K10_MCVD.otu_table.biom')	0.25
8	('EP086024', 1, 'EP086024_K10_MCVD.otu_table.biom')	0.0
9	('EP086560', 1, 'EP086560_K10_MCVD.otu_table.biom')	0.0
10	('EP094101', 1, 'EP094101_K10_MCVD.otu_table.biom')	0.0
11	('EP096310', 7, 'EP096310_K70_MCVD.otu_table.biom')	0.0
12	('EP113600', 1, 'EP113600_K10_MCVD.otu_table.biom')	0.0
13	('EP119655', 1, 'EP119655_K10_MCVD.otu_table.biom')	1.0
14	('EP123585', 1, 'EP123585_K10_MCVD.otu_table.biom')	0.0
15	('EP123900', 1, 'EP123900_K10_MCVD.otu_table.biom')	0.58
16	('EP145184', 1, 'EP145184_K10_MCVD.otu_table.biom')	1.0
17	('EP181675', 1, 'EP181675_K10_MCVD.otu_table.biom')	1.0
18	('EP191772', 1, 'EP191772_K10_MCVD.otu_table.biom')	1.0
19	('EP191897', 1, 'EP191897_K10_MCVD.otu_table.biom')	1.0
20	('EP201349', 1, 'EP201349_K10_MCVD.otu_table.biom')	0.0
21	('EP202463', 1, 'EP202463_K10_MCVD.otu_table.biom')	0.0
22	('EP203336', 1, 'EP203336_K10_MCVD.otu_table.biom')	1.0
23	('EP206375', 1, 'EP206375_K10_MCVD.otu_table.biom')	1.0
24	('EP207166', 1, 'EP207166_K10_MCVD.otu_table.biom')	0.59
25	('EP211731', 1, 'EP211731_K10_MCVD.otu_table.biom')	1.0
26	('EP216429', 1, 'EP216429_K10_MCVD.otu_table.biom')	1.0
27	('EP217091', 1, 'EP217091_K10_MCVD.otu_table.biom')	1.0
28	('EP218239', 1, 'EP218239_K10_MCVD.otu_table.biom')	0.19
29	('EP222037', 1, 'EP222037_K10_MCVD.otu_table.biom')	0.0
30	('EP223167', 1, 'EP223167_K10_MCVD.otu_table.biom')	0.0
31	('EP240606', 1, 'EP240606_K10_MCVD.otu_table.biom')	0.66
32	('EP246574', 1, 'EP246574_K10_MCVD.otu_table.biom')	1.0
33	('EP271595', 4, 'EP271595_K40_MCVD.otu_table.biom')	0.0
34	('EP273248', 1, 'EP273248_K10_MCVD.otu_table.biom')	0.0
35	('EP283033', 1, 'EP283033_K10_MCVD.otu_table.biom')	0.0
36	('EP285935', 1, 'EP285935_K10_MCVD.otu_table.biom')	0.0
37	('EP286550', 1, 'EP286550_K10_MCVD.otu_table.biom')	0.0
38	('EP286906', 1, 'EP286906_K10_MCVD.otu_table.biom')	0.0
39	('EP288001', 1, 'EP288001_K10_MCVD.otu_table.biom')	0.0
40	('EP288825', 1, 'EP288825_K10_MCVD.otu_table.biom')	0.0
41	('EP290639', 1, 'EP290639_K10_MCVD.otu_table.biom')	1.0
42	('EP293533', 1, 'EP293533_K10_MCVD.otu_table.biom')	1.0
43	('EP296970', 1, 'EP296970_K10_MCVD.otu_table.biom')	0.0
44	('EP311701', 1, 'EP311701_K10_MCVD.otu_table.biom')	0.0
45	('EP318569', 1, 'EP318569_K10_MCVD.otu_table.biom')	1.0
46	('EP323428', 1, 'EP323428_K10_MCVD.otu_table.biom')	0.0
47	('EP336335', 1, 'EP336335_K10_MCVD.otu_table.biom')	1.0
48	('EP338059', 1, 'EP338059_K10_MCVD.otu_table.biom')	1.0
49	('EP346571', 1, 'EP346571_K10_MCVD.otu_table.biom')	1.0
50	('EP351505', 1, 'EP351505_K10_MCVD.otu_table.biom')	0.0
51	('EP356729', 1, 'EP356729_K10_MCVD.otu_table.biom')	0.0
52	('EP356792', 1, 'EP356792_K10_MCVD.otu_table.biom')	0.93
53	('EP362253', 1, 'EP362253_K10_MCVD.otu_table.biom')	0.0
54	('EP362721', 1, 'EP362721_K10_MCVD.otu_table.biom')	0.0
55	('EP367695', 1, 'EP367695_K10_MCVD.otu_table.biom')	0.35
56	('EP373403', 8, 'EP373403_K80_MCVD.otu_table.biom')	1.0
57	('EP376101', 1, 'EP376101_K10_MCVD.otu_table.biom')	0.2
58	('EP388069', 1, 'EP388069_K10_MCVD.otu_table.biom')	0.0
59	('EP391714', 1, 'EP391714_K10_MCVD.otu_table.biom')	0.0
60	('EP392045', 1, 'EP392045_K10_MCVD.otu_table.biom')	1.0
61	('EP392047', 1, 'EP392047_K10_MCVD.otu_table.biom')	0.0
62	('EP395934', 1, 'EP395934_K10_MCVD.otu_table.biom')	0.19
63	('EP409071', 3, 'EP409071_K30_MCVD.otu_table.biom')	1.0
64	('EP426527', 5, 'EP426527_K50_MCVD.otu_table.biom')	0.0
65	('EP428956', 1, 'EP428956_K10_MCVD.otu_table.biom')	0.0
66	('EP438112', 1, 'EP438112_K10_MCVD.otu_table.biom')	0.0
67	('EP460410', 1, 'EP460410_K10_MCVD.otu_table.biom')	1.0
68	('EP460880', 1, 'EP460880_K10_MCVD.otu_table.biom')	0.0
69	('EP470665', 1, 'EP470665_K10_MCVD.otu_table.biom')	1.0
70	('EP470960', 1, 'EP470960_K10_MCVD.otu_table.biom')	0.0
71	('EP479947', 1, 'EP479947_K10_MCVD.otu_table.biom')	1.0
72	('EP482764', 1, 'EP482764_K10_MCVD.otu_table.biom')	0.0
73	('EP483320', 1, 'EP483320_K10_MCVD.otu_table.biom')	1.0
74	('EP483881', 1, 'EP483881_K10_MCVD.otu_table.biom')	0.0
75	('EP487163', 1, 'EP487163_K10_MCVD.otu_table.biom')	0.0
76	('EP488403', 1, 'EP488403_K10_MCVD.otu_table.biom')	1.0
77	('EP489199', 3, 'EP489199_K30_MCVD.otu_table.biom')	1.0
78	('EP491593', 1, 'EP491593_K10_MCVD.otu_table.biom')	0.3
79	('EP505314', 1, 'EP505314_K10_MCVD.otu_table.biom')	0.94
80	('EP509951', 1, 'EP509951_K10_MCVD.otu_table.biom')	0.0
81	('EP516732', 1, 'EP516732_K10_MCVD.otu_table.biom')	0.0
82	('EP516855', 1, 'EP516855_K10_MCVD.otu_table.biom')	0.64
83	('EP521049', 1, 'EP521049_K10_MCVD.otu_table.biom')	1.0
84	('EP523733', 1, 'EP523733_K10_MCVD.otu_table.biom')	0.0
85	('EP523733', 2, 'EP523733_K20_MCVD.otu_table.biom')	0.0
86	('EP524246', 11, 'EP524246_K110_MCVD.otu_table.biom')	1.0
87	('EP533526', 1, 'EP533526_K10_MCVD.otu_table.biom')	0.0
88	('EP537290', 1, 'EP537290_K10_MCVD.otu_table.biom')	0.0
89	('EP542373', 1, 'EP542373_K10_MCVD.otu_table.biom')	0.0
90	('EP543629', 1, 'EP543629_K10_MCVD.otu_table.biom')	0.0
91	('EP543835', 7, 'EP543835_K70_MCVD.otu_table.biom')	1.0
92	('EP547297', 1, 'EP547297_K10_MCVD.otu_table.biom')	0.0
93	('EP548439', 1, 'EP548439_K10_MCVD.otu_table.biom')	0.0
94	('EP550598', 1, 'EP550598_K10_MCVD.otu_table.biom')	0.72
95	('EP557758', 1, 'EP557758_K10_MCVD.otu_table.biom')	0.0
96	('EP557758', 2, 'EP557758_K20_MCVD.otu_table.biom')	0.0
97	('EP558013', 1, 'EP558013_K10_MCVD.otu_table.biom')	0.0
98	('EP580652', 1, 'EP580652_K10_MCVD.otu_table.biom')	0.0
99	('EP583097', 1, 'EP583097_K10_MCVD.otu_table.biom')	1.0
100	('EP584156', 1, 'EP584156_K10_MCVD.otu_table.biom')	0.0
101	('EP584193', 1, 'EP584193_K10_MCVD.otu_table.biom')	1.0
102	('EP590973', 1, 'EP590973_K10_MCVD.otu_table.biom')	0.0
103	('EP596677', 1, 'EP596677_K10_MCVD.otu_table.biom')	1.0
104	('EP598179', 1, 'EP598179_K10_MCVD.otu_table.biom')	1.0
105	('EP601434', 1, 'EP601434_K10_MCVD.otu_table.biom')	0.48
106	('EP603614', 1, 'EP603614_K10_MCVD.otu_table.biom')	1.0
107	('EP604654', 1, 'EP604654_K10_MCVD.otu_table.biom')	0.94
108	('EP607311', 1, 'EP607311_K10_MCVD.otu_table.biom')	1.0
109	('EP608013', 1, 'EP608013_K10_MCVD.otu_table.biom')	1.0
110	('EP612207', 1, 'EP612207_K10_MCVD.otu_table.biom')	1.0
111	('EP612777', 1, 'EP612777_K10_MCVD.otu_table.biom')	1.0
112	('EP622785', 1, 'EP622785_K10_MCVD.otu_table.biom')	1.0
113	('EP622928', 1, 'EP622928_K10_MCVD.otu_table.biom')	0.0
114	('EP628259', 1, 'EP628259_K10_MCVD.otu_table.biom')	0.0
115	('EP631955', 4, 'EP631955_K40_MCVD.otu_table.biom')	0.0
116	('EP641566', 20, 'EP641566_K200_MCVD.otu_table.biom')	1.0
117	('EP642999', 1, 'EP642999_K10_MCVD.otu_table.biom')	0.0
118	('EP647247', 1, 'EP647247_K10_MCVD.otu_table.biom')	0.5
119	('EP649700', 2, 'EP649700_K20_MCVD.otu_table.biom')	0.0
120	('EP659201', 1, 'EP659201_K10_MCVD.otu_table.biom')	0.62
121	('EP673071', 1, 'EP673071_K10_MCVD.otu_table.biom')	0.78
122	('EP708835', 10, 'EP708835_K100_MCVD.otu_table.biom')	0.0
123	('EP716298', 1, 'EP716298_K10_MCVD.otu_table.biom')	0.0
124	('EP718673', 1, 'EP718673_K10_MCVD.otu_table.biom')	1.0
125	('EP719882', 6, 'EP719882_K60_MCVD.otu_table.biom')	1.0
126	('EP745494', 1, 'EP745494_K10_MCVD.otu_table.biom')	1.0
127	('EP747703', 1, 'EP747703_K10_MCVD.otu_table.biom')	1.0
128	('EP754016', 1, 'EP754016_K10_MCVD.otu_table.biom')	0.0
129	('EP761009', 1, 'EP761009_K10_MCVD.otu_table.biom')	0.0
130	('EP769777', 1, 'EP769777_K10_MCVD.otu_table.biom')	0.0
131	('EP772621', 1, 'EP772621_K10_MCVD.otu_table.biom')	0.0
132	('EP785033', 1, 'EP785033_K10_MCVD.otu_table.biom')	0.0
133	('EP791691', 1, 'EP791691_K10_MCVD.otu_table.biom')	0.51
134	('EP791888', 1, 'EP791888_K10_MCVD.otu_table.biom')	0.35
135	('EP792982', 1, 'EP792982_K10_MCVD.otu_table.biom')	1.0
136	('EP794231', 1, 'EP794231_K10_MCVD.otu_table.biom')	0.0
137	('EP799931', 1, 'EP799931_K10_MCVD.otu_table.biom')	0.0
138	('EP824738', 1, 'EP824738_K10_MCVD.otu_table.biom')	0.0
139	('EP841683', 1, 'EP841683_K10_MCVD.otu_table.biom')	1.0
140	('EP841683', 5, 'EP841683_K50_MCVD.otu_table.biom')	1.0
141	('EP843963', 1, 'EP843963_K10_MCVD.otu_table.biom')	0.0
142	('EP850673', 1, 'EP850673_K10_MCVD.otu_table.biom')	1.0
143	('EP863344', 1, 'EP863344_K10_MCVD.otu_table.biom')	0.0
144	('EP869708', 1, 'EP869708_K10_MCVD.otu_table.biom')	0.25
145	('EP882960', 1, 'EP882960_K10_MCVD.otu_table.biom')	0.0
146	('EP883575', 1, 'EP883575_K10_MCVD.otu_table.biom')	0.19
147	('EP889264', 1, 'EP889264_K10_MCVD.otu_table.biom')	0.35
148	('EP891353', 1, 'EP891353_K10_MCVD.otu_table.biom')	0.94
149	('EP903758', 1, 'EP903758_K10_MCVD.otu_table.biom')	1.0
150	('EP929440', 1, 'EP929440_K10_MCVD.otu_table.biom')	0.89
151	('EP933492', 1, 'EP933492_K10_MCVD.otu_table.biom')	1.0
152	('EP934299', 1, 'EP934299_K10_MCVD.otu_table.biom')	0.0
153	('EP936022', 1, 'EP936022_K10_MCVD.otu_table.biom')	0.0
154	('EP944038', 1, 'EP944038_K10_MCVD.otu_table.biom')	1.0
155	('EP949081', 1, 'EP949081_K10_MCVD.otu_table.biom')	0.0
156	('EP949081', 5, 'EP949081_K50_MCVD.otu_table.biom')	1.0
157	('EP960606', 1, 'EP960606_K10_MCVD.otu_table.biom')	0.2
158	('EP972800', 1, 'EP972800_K10_MCVD.otu_table.biom')	0.0
159	('EP983489', 1, 'EP983489_K10_MCVD.otu_table.biom')	0.0
160	('EP989401', 2, 'EP989401_K20_MCVD.otu_table.biom')	0.2
161	('EP992349', 1, 'EP992349_K10_MCVD.otu_table.biom')	0.2
